pax,416
praca,217
stowarzyszenie,142
polska,110
partia,94
kościół,87
państwo,84
kraju,65
człowieka,61
warszawa,61
katolicy,59
działacze,44
społeczeństwa,44
centrala,43
socjalizm,43
władza,41
zarządu,39
znak,39
narodu,38
bóg,36
księża,34
episkopat,32
ludzi,30
duchowieństwo,29
klub,28
kultury,27
produkcja,27
związku,27
departament,26
polityki,26
chss,25
inteligencji,25
ipn,25
budżet,23
fundusz,23
wydziału,23
organizacji,22
prl,22
zzg,22
historii,21
kierownictwo,21
ministerstwo,20
naczelnik,20
watykan,20
piasecki,19
pzpr,19
tygodnik,19
patriotyzm,18
młodzieży,17
par,16
kik,15
prasy,15
wyznań,15
hierarchii,14
msw,14
sekretariatu,14
zsrr,14
politykę,13
przewodniczący,13
toruń,13
wydział,13
xxx,13
zachodzie,13
kleru,11
przemysł,11
świata,11
więź,11
propagandy,10
przedsiębiorstwa,10
rząd,10
siły,10
ideologii,9
konfederacji,9
krajach,9
poznań,9
urząd,9
ustroju,9
wydawnictw,9
zebrań,9
chrześcijan,8
chs,8
działal,8
gospodarki,8
katowicach,8
kryzys,8
nagród,8
oddziały,8
religii,8
świadomość,8
świat,8
bliźniego,7
christiana,7
europy,7
pak,7
sojuszu,7
bednarczyk,6
biskupów,6
chz,6
gierka,6
naukę,6
polaków,6
rolnictwa,6
rządu,6
sobór,6
zorza,6
cechy,5
cywilizacja,5
inspiracji,5
kardynała,5
konstytucji,5
kraj,5
krakowie,5
królestwa,5
kul,5
kurii,5
polaka,5
przekształcenia,5
rfn,5
sekretarza,5
społeczeństwem,5
stefanowicz,5
stylu,5
usług,5
